"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","Cotswold","E07000079","Total",82881,40104,42777,81319,1562,1881,116451.96,0.7
"2011","Forest of Dean","E07000080","Total",81961,40272,41689,80040,1921,1061,52650.63,1.6
"2011","Gloucester","E07000081","Total",121688,60104,61584,119955,1733,1320,4053.68,30.0
"2011","Stroud","E07000082","Total",112779,55514,57265,111503,1276,1989,46065.47,2.4
"2011","Tewkesbury","E07000083","Total",81943,40080,41863,81053,890,1333,41441.83,2.0
"2011","Mendip","E07000187","Total",109279,53387,55892,106031,3248,1835,73943.51,1.5
"2011","Sedgemoor","E07000188","Total",114588,56048,58540,113056,1532,1424,56436.28,2.0
"2011","South Somerset","E07000189","Total",161243,79106,82137,157903,3340,2603,95904.23,1.7
"2011","Taunton Deane","E07000190","Total",110187,53280,56907,106852,3335,1744,46236.29,2.4
"2011","West Somerset","E07000191","Total",34675,16575,18100,33282,1393,447,72534.51,0.5
